Locus_Index,Panmixia_TI,Panmixia_BTI,Panmixia_HS,Full_TI,Full_BTI,Full_HS,DGF3_TI,DGF3_BTI,DGF3_HS
134,-615.43,-607.2,-583.19,-622.12,-615.49,-585.49,-621.69,-614.69,-584.75
135,-456.5,-449.69,-432.28,-462.14,-456.59,-435.59,-461.28,-455.6,-434.34
136,-432.32,-428.02,-426.44,-437.11,-432.71,-430.85,-436.64,-432.2,-433.15
137,-1592.65,-1013.55,-647.47,-1907.85,-1079.12,-657.64,-1915.72,-1088.68,-652.75
138,-477.01,-470.66,-455.78,-480.72,-475.46,-457.59,-479.36,-473.95,-456.75
139,-487.63,-479.06,-466.34,-489.93,-483.25,-468.02,-488.24,-480.65,-467.65
140,-582.9,-576.51,-565.07,-585.53,-579.06,-567.57,-583.66,-576.84,-566.39
141,-3844.59,-1635.85,-942.11,-4936.16,-1843.34,-980.69,-4943.94,-1855.2,-989.03
142,-435.15,-430.83,-428.84,-438.86,-434.41,-432.48,-436.45,-431.99,-430.67
143,-2495.96,-1177.02,-653.98,-3169.29,-1308.3,-674.63,-3169.71,-1313.86,-685.16
144,-609.54,-597.4,-585.07,-610.44,-598.73,-587.92,-609.98,-598.95,-587.11
145,-497.7,-483.43,-458.32,-500.68,-488.1,-461.33,-500.52,-488.16,-459.73
146,-664.65,-645.93,-630.47,-670.21,-654.08,-633.13,-664.25,-646.24,-631.21
147,-505.67,-495.64,-465.24,-509.41,-501.36,-467.04,-509.14,-500.7,-466.27
148,-521.85,-515.27,-496.36,-530.39,-525.59,-499.35,-530.6,-525.83,-499.73
149,-567.02,-556.94,-519.15,-575.49,-566.09,-525.94,-573.47,-563.62,-525.91
150,-1969.66,-1176.83,-733.71,-2388.8,-1260.65,-752.35,-2390.18,-1261.44,-768.99
151,-515.94,-504.63,-457.41,-515.24,-504.42,-459.19,-514.46,-502.82,-459.08
152,-437.56,-433.04,-426.92,-442.34,-437.78,-430.63,-439.65,-435.03,-429.2
153,-593.47,-586.39,-564.85,-598.3,-591.08,-567.21,-596.33,-588.66,-566.64
154,-767.69,-752.8,-696.05,-776.81,-765.11,-699.1,-777.9,-765.67,-700.64
155,-579.11,-548.89,-486.66,-583.9,-558.42,-488.14,-580.77,-554.82,-487.04
156,-1705.85,-1075.15,-685.76,-2051.81,-1150.03,-706.2,-2050.6,-1149.56,-713.18
157,-415.86,-411.74,-410.07,-418.62,-414.35,-413.53,-416.5,-412.21,-412.07
158,-531.54,-502.15,-476.88,-532.81,-506.1,-479.01,-532.33,-505.84,-478.59
159,-606.2,-598.93,-580.61,-612.43,-606.45,-583.57,-608.63,-602.34,-581.75
160,-321.67,-318.41,-315.12,-323.74,-320.42,-317.65,-321.3,-317.9,-315.68
161,-473.46,-465.31,-448.9,-478.81,-472.18,-451.69,-477.64,-470.57,-450.45
162,-630.14,-610.08,-554.79,-634.93,-617.65,-557.6,-632.61,-614.28,-557.12
163,-476.9,-470.09,-446.46,-479.59,-473.88,-448.4,-481.34,-475.01,-449.92
164,-432.94,-428.53,-431.31,-436.37,-431.92,-434.46,-434.17,-429.74,-432.53
165,-443.01,-438.56,-436.51,-448.46,-443.87,-441.61,-446.31,-441.78,-439.57
166,-438.6,-433.9,-425.24,-443.55,-439.1,-428.67,-441.05,-436.37,-427.44
167,-504.97,-499.79,-496.26,-510.49,-505.19,-500.47,-507.23,-501.97,-497.78
168,-1805.41,-1133.3,-718.28,-2207.46,-1266.54,-775.36,-2207.47,-1269.28,-784.04
169,-338.65,-332.68,-329.79,-341.3,-335.7,-332.49,-338.84,-332.71,-330.94
170,-418.28,-414.07,-417.33,-422.31,-418.04,-420.98,-420.1,-415.88,-419.16
171,-500.51,-494.01,-474.35,-501.39,-494.92,-475.24,-499.44,-492.73,-475.02
172,-1953.57,-1164.02,-748.41,-2365.39,-1240.78,-755.39,-2365.73,-1245.96,-768.08
173,-501.54,-491.25,-448.9,-509.28,-501.39,-451.82,-508.71,-500.59,-451.2
174,-1584.54,-1067.85,-708.58,-1887.06,-1144.55,-737.8,-1890.15,-1147.02,-743.35
175,-631.45,-586.53,-504.42,-632.32,-592.47,-505.92,-632.97,-593.61,-505.51
176,-421.22,-414.38,-382.79,-425.36,-419.91,-385.49,-427.06,-420.95,-387.97
